,descricao
277,tim*ctrbexpanxl3m  || NA
278,transferência enviada - danilo brito steckelberg - 030.831.221-01 - easynvest - título corretora de valores sa (0140) conta: 1657529-0 || NA
279,transferência enviada pelo pix - adelaida garai zonato - 322.024.958-27 - bco santander (brasil) s.a. (0033) agência: 666 conta: 1022003-0 || NA
280,transferência enviada pelo pix - adilson rodrigues de paula - 879.887.396-20 - ccla vale são patricio ltda agência: 3055 conta: 10114-1 || NA
281,transferência enviada pelo pix - adyen do brasil ltda - 14.796.606/0001-90 - banco btg pactual s.a. (0208) agência: 30 conta: 437077-1 || NA
282,transferência enviada pelo pix - amazon.com.br - 15.436.940/0001-03 - ebanx ip ltda. (0383) agência: 1 conta: 1000826894-8 || NA
283,transferência enviada pelo pix - ana gabriela pereira bianco - 220.933.178-18 - mercado pago ip ltda. (0323) agência: 1 conta: 6471290408-4 || NA
284,transferência enviada pelo pix - angelita andrioli steckelberg - 149.296.598-76 - nu pagamentos - ip (0260) agência: 1 conta: 1198524-0 || NA
285,transferência enviada pelo pix - assoc ins chao - 20.813.161/0001-01 - mercado pago ip ltda. (0323) agência: 1 conta: 2243418842-4 || NA
286,transferência enviada pelo pix - cláudia antunes guedes vale - 300.397.128-00 - itaú unibanco s.a. (0341) agência: 2783 conta: 13150-7 || NA
287,transferência enviada pelo pix - cláudia guedes antunes vale - 300.397.128-00 - itaú unibanco s.a. (0341) agência: 2783 conta: 13150-7 || NA
288,transferência enviada pelo pix - companhia b distribuicao - 47.508.411/0001-56 - itaú unibanco s.a. (0341) agência: 910 conta: 14139-9 || NA
289,transferência enviada pelo pix - cromatica comercial ltda   me - 05.116.506/0001-84 - itaú unibanco s.a. (0341) agência: 354 conta: 62798-6 || NA
290,transferência enviada pelo pix - dailza pineda - 329.963.518-27 - bco santander (brasil) s.a. (0033) agência: 4338 conta: 1055194-5 || NA
291,transferência enviada pelo pix - dailza pineda - 329.963.518-27 - nu pagamentos - ip (0260) agência: 1 conta: 4662917-6 || NA
292,transferência enviada pelo pix - danilo brito steckelberg - 030.831.221-01 - bco bradesco s.a. (0237) agência: 2583 conta: 651-3 || NA
293,transferência enviada pelo pix - danilo brito steckelberg - 030.831.221-01 - bco bradesco s.a. (0237) agência: 302 conta: 536651-8 || NA
294,transferência enviada pelo pix - danilo brito steckelberg - 030.831.221-01 - nu pagamentos - ip (0260) agência: 1 conta: 4472039-5 || NA
295,transferência enviada pelo pix - danilo brito steckelberg 03083122101 - 32.029.833/0001-71 - nu pagamentos - ip (0260) agência: 1 conta: 52374887-1 || NA
296,transferência enviada pelo pix - decolar  com ltda  - 03.563.689/0002-31 - itaú unibanco s.a. (0341) agência: 46 conta: 93803-1 || NA
297,transferência enviada pelo pix - eduardo morais 37997852808 - 20.097.297/0001-62 - stone ip s.a. (0197) agência: 1 conta: 440631-0 || NA
298,transferência enviada pelo pix - evi participacoes ltda - 37.669.661/0001-14 - pagar.me instituicao de pagame agência: 1 conta: 935754-2 || NA
299,transferência enviada pelo pix - farmacia manipulacao d n l epp - 01.208.269/0001-20 - itaú unibanco s.a. (0341) agência: 740 conta: 39419-2 || NA
300,transferência enviada pelo pix - fernanda rozenbaum bcheche - 013.866.606-71 - itaú unibanco s.a. (0341) agência: 2926 conta: 30862-4 || NA
301,transferência enviada pelo pix - futuro refeitorio ltda   epp - 27.558.492/0001-91 - itaú unibanco s.a. (0341) agência: 185 conta: 87777-6 || NA
302,transferência enviada pelo pix - hirota supermercados   loja 03 - 56.527.062/0001-00 - itaú unibanco s.a. (0341) agência: 47 conta: 3861-7 || NA
303,transferência enviada pelo pix - idseg certificadora - 32.222.806/0001-10 - banco inter (0077) agência: 1 conta: 3648974-3 || NA
304,transferência enviada pelo pix - ifood.com agencia de restaurantes online s.a. - 14.380.200/0001-21 - zoop meios de pagamento agência: 1 conta: 847551388-2 || NA
305,transferência enviada pelo pix - ikaelly santos souza - 109.846.515-60 - picpay (0380) agência: 1 conta: 18758005-7 || NA
306,transferência enviada pelo pix - ikioi restaurante ltda - 13.318.489/0001-96 - caixa economica federal (0104) agência: 1572 conta: 3000000000000976-6 || NA
307,"transferência enviada pelo pix - imbassai transportes, viagens e turismo - 12.829.703/0001-06 - bco bradesco s.a. (0237) agência: 6694 conta: 745-5 || NA"
308,transferência enviada pelo pix - isaias pereira dos santos - 227.621.528-36 - bco santander (brasil) s.a. (0033) agência: 641 conta: 1073255-6 || NA
309,transferência enviada pelo pix - jonas cavalcanti da silva - 274.487.948-76 - itaú unibanco s.a. (0341) agência: 3010 conta: 7857-8 || NA
310,transferência enviada pelo pix - jozeilze corsino da silva - 105.845.944-96 - itaú unibanco s.a. (0341) agência: 1662 conta: 23535-5 || NA
311,transferência enviada pelo pix - labi exames - 27.579.749/0001-91 - pagar.me instituicao de pagame agência: 1 conta: 296569-4 || NA
